cpu,cpu,16,24,1,51846,38314,1.9581,0.69152,101520
cpu,cpu,16,24,2,173773,62551,0.593047,1.0545,204576
cpu,cpu,16,24,3,172364,50380,0.59511,1.44093,307152
cpu,cpu,16,24,4,175805,51658,0.587833,1.41271,410496
cpu,cpu,16,24,5,170143,49688,0.604854,1.46628,513408
cpu,cpu,16,24,6,167493,50646,0.606113,1.39836,614928
cpu,cpu,16,24,7,171485,51145,0.605998,1.42585,718848
cpu,cpu,16,24,8,176750,50434,0.575184,1.44058,820512
cpu,cpu,16,24,9,171322,51107,0.597051,1.40439,922800
cpu,cpu,16,24,10,166485,50768,0.614396,1.40039,1.02509e+06
cpu,cpu,16,24,11,177011,51542,0.57759,1.40602,1.12733e+06
cpu,cpu,16,24,12,167384,50304,0.611098,1.4223,1.22962e+06
cpu,cpu,16,24,13,176885,51696,0.5799,1.40429,1.33219e+06
cpu,cpu,16,24,14,169568,51630,0.609168,1.39151,1.43549e+06
cpu,cpu,16,24,15,174605,50814,0.577028,1.40572,1.53624e+06
cpu,cpu,16,24,16,170064,50941,0.599209,1.40121,1.63814e+06
cpu,cpu,16,24,17,173108,51657,0.591722,1.3912,1.74058e+06
cpu,cpu,16,24,18,170692,48721,0.602908,1.50936,1.84349e+06
cpu,cpu,16,24,19,163647,49458,0.629743,1.45395,1.94654e+06
cpu,cpu,16,24,20,172241,51932,0.599436,1.38869,2.04979e+06
cpu,cpu,16,24,21,168988,49896,0.614668,1.46707,2.15366e+06
cpu,cpu,16,24,22,166695,45431,0.618229,1.65017,2.25672e+06
cpu,cpu,16,24,23,136843,44854,0.747832,1.53369,2.35906e+06
cpu,cpu,16,24,24,156343,47551,0.663771,1.51862,2.46283e+06
cpu,cpu,16,24,25,144789,46598,0.718397,1.51378,2.56685e+06
cpu,cpu,16,24,26,134104,36365,0.76919,2.06734,2.67e+06
cpu,cpu,16,24,27,133717,39800,0.757415,1.78728,2.77128e+06
cpu,cpu,16,24,28,121650,35417,0.845567,2.05878,2.87414e+06
cpu,cpu,16,24,29,118851,38952,0.863064,1.77029,2.97672e+06
cpu,cpu,16,24,30,154785,43232,0.669828,1.72836,3.0804e+06
cpu,cpu,16,24,31,138973,43124,0.734989,1.63357,3.18254e+06
cpu,cpu,16,24,32,134598,43046,0.766367,1.62994,3.2857e+06
cpu,cpu,16,24,33,151589,43870,0.689968,1.69416,3.39029e+06
cpu,cpu,16,24,34,143431,41942,0.716163,1.7329,3.49301e+06
cpu,cpu,16,24,35,137313,36276,0.745623,2.07672,3.59539e+06
cpu,cpu,16,24,36,126511,38238,0.824841,1.90416,3.69974e+06
cpu,cpu,16,24,37,102040,38716,0.994902,1.62726,3.80126e+06
cpu,cpu,16,24,38,145726,40640,0.699611,1.80902,3.90322e+06
cpu,cpu,16,24,39,118920,38660,0.858119,1.78149,4.00526e+06
cpu,cpu,16,24,40,133927,44249,0.766623,1.55369,4.10794e+06
cpu,cpu,16,24,41,123241,40578,0.822581,1.67568,4.20931e+06
cpu,cpu,16,24,42,167914,49119,0.606024,1.46564,4.31107e+06
cpu,cpu,16,24,43,160034,48899,0.646359,1.46899,4.41451e+06
cpu,cpu,16,24,44,165464,48210,0.621669,1.51198,4.51738e+06
cpu,cpu,16,24,45,158774,47066,0.636073,1.50966,4.61837e+06
cpu,cpu,16,24,46,133770,44730,0.76788,1.52853,4.72109e+06
cpu,cpu,16,24,47,159675,48223,0.636392,1.4708,4.8227e+06
cpu,cpu,16,24,48,145622,46011,0.707036,1.53068,4.92566e+06
cpu,cpu,16,24,49,157887,46145,0.637517,1.54376,5.02632e+06
cpu,cpu,16,32,1,27876,19392,3.64576,1.59505,101632
cpu,cpu,16,32,2,66878,32711,1.53592,1.60422,204352
cpu,cpu,16,32,3,104936,36671,0.995957,1.854,308864
cpu,cpu,16,32,4,132544,37952,0.761465,1.89783,409792
cpu,cpu,16,32,5,117348,37840,0.873163,1.83461,512256
cpu,cpu,16,32,6,134686,41306,0.762658,1.72409,614976
cpu,cpu,16,32,7,139620,42246,0.732958,1.68941,717312
cpu,cpu,16,32,8,141137,42363,0.721453,1.6821,819136
cpu,cpu,16,32,9,146391,43409,0.708674,1.68123,922880
cpu,cpu,16,32,10,134536,41279,0.766838,1.73239,1.02605e+06
cpu,cpu,16,32,11,147873,44180,0.69508,1.63139,1.12883e+06
cpu,cpu,16,32,12,147031,44823,0.701672,1.6,1.232e+06
cpu,cpu,16,32,13,150183,45072,0.686095,1.60001,1.33504e+06
cpu,cpu,16,32,14,146041,44484,0.705554,1.61078,1.43808e+06
cpu,cpu,16,32,15,142966,43868,0.714013,1.61293,1.54016e+06
cpu,cpu,16,32,16,149375,43774,0.682521,1.64649,1.64211e+06
cpu,cpu,16,32,17,141261,44225,0.720819,1.58156,1.74394e+06
