variante,durchlauf,iterationen,steps_pro_iteration,iter_s,infer_s,sim_s,lernen_s,sps_report,sps_wall,wall_s
aktuell,1,12,102880,1.87,0.624,0.48,0.697,55017,23584,63.6
aktuell,2,12,102325,1.857,0.601,0.431,0.766,55106,20689,72.5
